,id,name,school,job_title,job_desc,image_file,field,major,interest,username,password,email
57,58,박예은,배재대학교,영어강사,디즈니 한국 지부 영화 자막 번역 담당자,profile_pic_mentor58.jpg,"['교육', '음악', '방송']",[ '영문학과' ],"[ '독서' , '음식'] ",test58,1234,test58@mm.com
58,59,최유하,우송대학교,방송콘텐츠제작,판소리 소리꾼,profile_pic_mentor59.jpg,"['방송', '연기']",[ '공연예술과' ],[ '건강'] ,test59,1234,test59@mm.com
59,60,조세아,을지대학교,건축구조설계엔지니어,청부 인테리어 수석 디자이너,profile_pic_mentor60.jpg,"['건강', '운동']",[ '건축공학과' ],[ '음식'] ,test60,1234,test60@mm.com
60,61,허주원,충남대학교,연구원,퀄컴 반도체 연구원,profile_pic_mentor61.jpg,"['엔지니어', '공학']",[ '화학과' ],[ '독서'] ,test61,1234,test61@mm.com
61,62,김이준,연세대학교,스타트업 CEO,"로보스탁 CEO, 인공지능 주식투자 솔루션 개발",profile_pic_mentor62.jpg,"['비즈니스', '마케팅']","[ '경영학과' , '경제학과' ]",[ '주식'] ,test62,1234,test62@mm.com
62,63,이우진,한남대학교,보안업체 직원,지역공항 사설 보안업체 경비대원,profile_pic_mentor63.jpg,"['방송', '연기']",[ '경호학과' ],"[ '게임' , '낚시'] ",test63,1234,test63@mm.com
63,64,박수호,연세대학교,마케팅전략기획,롯데백화점 강남점 전략 마케팅 팀장,profile_pic_mentor64.jpg,"['IT', '방송']",[ '경영학과' ],"[ '파티' , '음식'] ",test64,1234,test64@mm.com
64,65,장선우,한국해양대학교,해양생물 연구원,동해지방해양수산청 데이터베이스 관리 팀장,profile_pic_mentor65.jpg,"['IT', '인공지능']",[ '컴퓨터학과' ],"[ '운동' , '음식'] ",test65,1234,test65@mm.com
65,66,이서윤,한밭대학교,UX/UI,"웹사이트 제작 관리, 프리랜서",profile_pic_mentor66.jpg,"['UX디자인', '마케팅', '비즈니스']",[ '공업디자인' ],"[ '운동' , '웹툰' , '파티'] ",test66,1234,test66@mm.com
66,67,박하린,서강대학교,대학교 교직원,중앙대학교 교직원,profile_pic_mentor67.jpg,['교육'],[ '생물학과' ],[ '경제'] ,test67,1234,test67@mm.com
67,68,최지우,서울과학기술대학교,반도체개발 엔지니어,삼성 M램 개발팀 연구원,profile_pic_mentor68.jpg,"['IT', '인공지능']",[ '물리학과' ],"[ '영화' , '게임'] ",test68,1234,test68@mm.com
68,69,유수아,서울시립대학교,고등학교 화학교사,숭실고등학교 화학교사,profile_pic_mentor69.jpg,['교육'],[ '화학과' ],"[ '운동' , '패션'] ",test69,1234,test69@mm.com
69,70,박지유,성공회대학교,고고학자,마야문명 전문가,profile_pic_mentor70.jpg,"['마케팅', '세일즈']",[ '고고학과' ],[ '영화'] ,test70,1234,test70@mm.com
70,71,이시아,성균관대학교,경영평가,기업가치 평가 전문가 입니다,profile_pic_mentor71.jpg,"['교육', '법률', '건강']",[ '법학과' ],[ '패션'] ,test71,1234,test71@mm.com
71,72,나서연,세종대학교,변호사,특허소송 및 저작권 보호 전문 변리사 입니다,profile_pic_mentor72.jpg,"['법률', '마케팅']",[ '법학과' ],[ '운동'] ,test72,1234,test72@mm.com
72,73,안나은,숭실대학교,유튜버,세계 고대문명을 주제로 유튜브 채널을 운영하고 있습니다,profile_pic_mentor73.jpg,"['교육', '음악']",[ '고고학과' ],"[ '독서' , '게임'] ",test73,1234,test73@mm.com
73,74,김채은,연세대학교,인수합병 컨설턴트,인수합병 및 기업가치 측정에 대한 컨설팅을 전문으로 합니다,profile_pic_mentor74.jpg,"['교육', '음악', '방송']",[ '법학과' ],"[ '환경' , '우주' , '독서'] ",test74,1234,test74@mm.com
74,75,이지윤,중앙대학교,게임효과음 엔지니어,넥스에서 게임 효과음 제작을 합니다,profile_pic_mentor75.jpg,"['교육', '음악', '방송']",[ '컴퓨터학과' ],[ '웹툰'] ,test75,1234,test75@mm.com
75,76,박다온,서강대학교,스타트업 CEO,스타트업 다번역 CEO 입니다,profile_pic_mentor76.jpg,"['비즈니스', '마케팅']",[ '영문학과' ],[ '게임'] ,test76,1234,test76@mm.com
76,77,김은서,서강대학교,강사,대치동 학원 물리2 스타강사 입니다,profile_pic_mentor77.jpg,"['IT', '벤처']",[ '경영학과' ],"[ '미술' , '독서'] ",test77,1234,test77@mm.com
77,78,송아린,성균관대학교,우주공학 엔지니어,인공위성 자세제어 엔진을 설계하는 일을 맡고 있습니다,profile_pic_mentor78.jpg,"['엔지니어', '공학']",[ '물리학과' ],[ '우주'] ,test78,1234,test78@mm.com
78,79,권다은,한국외국어대학교,고객관리,해외바이어 관리 및 공문서 번역업무,profile_pic_mentor79.jpg,"['비즈니스', '마케팅']",[ '영문학과' ],[ '음식'] ,test79,1234,test79@mm.com
79,80,허유주,한성대학교,일반행정 공무원,방배동 동사무소 민원업무 담당,profile_pic_mentor80.jpg,"['건강', '운동']",[ '가정교육과' ],[ '환경'] ,test80,1234,test80@mm.com
80,81,황윤우,한양대학교,방송콘텐츠제작,조립PC 제작을 주제로한 유튜브 컨텐츠 제작자,profile_pic_mentor81.jpg,"['음악', '방송', '운동']",[ '컴퓨터학과' ],[ '영화'] ,test81,1234,test81@mm.com
81,82,건도현,홍익대학교,시각디자인,공연 포스터 제작 전문,profile_pic_mentor82.jpg,"['영상디자인', 'UX디자인']",[ '공연예술과' ],"[ '환경' , '영화' , '독서'] ",test82,1234,test82@mm.com
82,83,신지안,경성대학교,시각디자인,커스텀 공연 의상제작 및 특수분장,profile_pic_mentor83.jpg,"['영상디자인', 'UX디자인']",[ '공연예술과' ],"[ '주식' , '웹툰' , '파티'] ",test83,1234,test83@mm.com
83,84,서이안,고신대학교,간병인,전업 간병인 입니다,profile_pic_mentor84.jpg,['방송'],[ '간호과' ],"[ '파티' , '음식'] ",test84,1234,test84@mm.com
84,85,김지안,동명대학교,고객관리,ADT 사설 경호업체 요원 입니다,profile_pic_mentor85.jpg,"['건강', '운동']",[ '경호학과' ],[ '운동'] ,test85,1234,test85@mm.com
85,86,이하윤,동서대학교,방송콘텐츠제작,아이상담을 전문으로하는 유튜브 방송채널을 운영중에 있습니다,profile_pic_mentor86.jpg,"['요리', '방송']",[ '가정교육과' ],"[ '미술' , '패션'] ",test86,1234,test86@mm.com
86,87,박서아,배재대학교,디지털마케터,물건 리뷰 전문가 입니다,profile_pic_mentor87.jpg,"['요리', '방송']",[ '가정교육과' ],[ '경제'] ,test87,1234,test87@mm.com
87,88,김하은,우송대학교,프로게이머,스타크래프트2 여성부 프로게이머 입니다. 주종족은 테란이에요,profile_pic_mentor88.jpg,"['교육', '법률', '건강']",[ '컴퓨터학과' ],"[ '우주' , '웹툰' , '파티'] ",test88,1234,test88@mm.com
88,89,이서윤,을지대학교,반도체개발 엔지니어,반도체 에칭 장비 설계 디자이너 입니다,profile_pic_mentor89.jpg,['엔지니어'],[ '화학과' ],"[ '독서' , '음식'] ",test89,1234,test89@mm.com
89,90,박하린,건양대학교,디지털마케터,e커머스 SEO 최적화를 해드립니다,profile_pic_mentor90.jpg,['마케팅'],[ '컴퓨터학과' ],[ '파티'] ,test90,1234,test90@mm.com
90,91,최지우,대전대학교,스타트업 CEO,"다이소프트 CEO, 로켓런처라는 게임으로 대박났습니다",profile_pic_mentor91.jpg,"['IT', '벤처']",[ '게임공학과' ],"[ '운동' , '음식'] ",test91,1234,test91@mm.com
91,92,유수아,목원대학교,디지털마케터,집밥 요리 및 반찬 레시피 연구가 입니다,profile_pic_mentor92.jpg,"['요리', '방송']",[ '가정교육과' ],"[ '주식' , '웹툰' , '우주'] ",test92,1234,test92@mm.com
92,93,박지유,배재대학교,번역 프리랜서,"한글-영어 문서 공증해드립니다, 프리랜서",profile_pic_mentor93.jpg,['방송'],[ '영문학과' ],"[ '음식' , '파티'] ",test93,1234,test93@mm.com
93,94,이시아,우송대학교,시각디자인,공연 조명 엔지니어 입니다,profile_pic_mentor94.jpg,"['영상디자인', 'UX디자인']",[ '공연예술과' ],[ '영화'] ,test94,1234,test94@mm.com
94,95,나서연,서울대학교,건축구조설계엔지니어,두바이에 가장 높은 빌딩을 디자인한 엔지니어 입니다,profile_pic_mentor95.jpg,"['엔지니어', '공학']",[ '건축공학과' ],"[ '운동' , '패션'] ",test95,1234,test95@mm.com
95,96,안나은,가톨릭대학교,UX/UI,테슬라 모터스 UX/UI 디자이너 입니다,profile_pic_mentor96.jpg,"['UX디자인', '마케팅', '비즈니스']",[ '공업디자인' ],"[ '환경' , '우주' , '독서'] ",test96,1234,test96@mm.com
96,97,송아린,고려대학교,건축구조설계엔지니어,석유 시추 플렛폼 수석 엔지니어,profile_pic_mentor97.jpg,"['엔지니어', '공학']",[ '건축공학과' ],[ '독서'] ,test97,1234,test97@mm.com
97,98,권다은,건국대학교,방송콘텐츠제작,유튜브 짱구의 경제따라잡기 채널 운영자,profile_pic_mentor98.jpg,"['교육', '음악', '방송']",[ '경영학과' ],"[ '경제' , '파티' , '건강'] ",test98,1234,test98@mm.com
98,99,허유주,충남대학교,고객관리,태화실업 고객담당 대리,profile_pic_mentor99.jpg,"['IT', '인공지능']",[ '공업디자인' ],"[ '음식' , '파티'] ",test99,1234,test99@mm.com
99,100,유채원,연세대학교,경영평가,한국생산성본부 본부장,profile_pic_mentor100.jpg,"['비즈니스', '마케팅']",[ '경영학과' ],[ '환경'] ,test100,1234,test100@mm.com
